"name","id","lat","lon","cumulative_revenue","design_capacity","fee_effective_date","rates","location","capital_cost","project_type","date_fee_notification","date_commercial_operation","fee_rule","concessions_period","traffic_per_day","target_traffic_per_day","contractor_name","contact_details"
"Pithai",385,22.413798,72.957428,0,0,"01-04-2021","{""car_single"":null,""car_multi"":160,""car_monthly"":3505,""lcv_single"":null,""lcv_multi"":250,""lcv_monthly"":5540,""bus_multi"":515,""bus_monthly"":11465,""multiaxle_single"":530,""multiaxle_multi"":800,""multiaxle_monthly"":17740,""hcm_single"":530,""hcm_multi"":800,""hcm_monthly"":17740,""four_six_axle_single"":530,""four_six_axle_multi"":800,""four_six_axle_monthly"":17740,""seven_plus_axle_single"":665,""seven_plus_axle_multi"":995,""seven_plus_axle_monthly"":22165}","<b style='color:#22A7EA'>Pithai</b><br/><b> </b> Ms Coral Associates",0,"BOT (Toll)",,,,,,,,
"Vavadikhurd",386,22.792571,73.533274,0,0,"01-04-2021","{""car_single"":null,""car_multi"":175,""car_monthly"":3930,""lcv_single"":null,""lcv_multi"":275,""lcv_monthly"":6070,""bus_multi"":555,""bus_monthly"":12350,""multiaxle_single"":565,""multiaxle_multi"":845,""multiaxle_monthly"":18810,""hcm_single"":565,""hcm_multi"":845,""hcm_monthly"":18810,""four_six_axle_single"":565,""four_six_axle_multi"":845,""four_six_axle_monthly"":18810,""seven_plus_axle_single"":725,""seven_plus_axle_multi"":1090,""seven_plus_axle_monthly"":24245}","<b style='color:#22A7EA'>Vavadikhurd</b><br/><b> </b> Ms Riddhi Siddhi Associates",0,"BOT (Toll)",,,,,,,,
"Mulbagal",387,13.148469,78.290548,0,0,"01-09-2021","{""car_single"":null,""car_multi"":110,""car_monthly"":2205,""lcv_single"":null,""lcv_multi"":195,""lcv_monthly"":3855,""bus_multi"":385,""bus_monthly"":7710,""multiaxle_single"":415,""multiaxle_multi"":620,""multiaxle_monthly"":12390,""hcm_single"":415,""hcm_multi"":620,""hcm_monthly"":12390,""four_six_axle_single"":415,""four_six_axle_multi"":620,""four_six_axle_monthly"":12390,""seven_plus_axle_single"":415,""seven_plus_axle_multi"":620,""seven_plus_axle_monthly"":12390}","<b style='color:#22A7EA'>Mulbagal</b><br/><b> </b> M/s Lanco Hoskote Highway Limited",0,"BOT (Toll)",,,,,,,,
"Kishorpur (Chandermore)",388,24.563182,88.019993,0,0,"11-05-2021","{""car_single"":null,""car_multi"":95,""car_monthly"":2065,""lcv_single"":null,""lcv_multi"":150,""lcv_monthly"":3340,""bus_multi"":315,""bus_monthly"":6995,""multiaxle_single"":330,""multiaxle_multi"":495,""multiaxle_monthly"":10970,""hcm_single"":330,""hcm_multi"":495,""hcm_monthly"":10970,""four_six_axle_single"":330,""four_six_axle_multi"":495,""four_six_axle_monthly"":10970,""seven_plus_axle_single"":400,""seven_plus_axle_multi"":600,""seven_plus_axle_monthly"":13350}","<b style='color:#22A7EA'>Kishorpur (Chandermore)</b><br/><b> </b> M/s Baharampore Farakka Highways Ltd",0,"BOT (Toll)",,,,,,,,
"Gopgram (Shibpur)",389,24.150449,88.18629,0,0,"11-05-2021","{""car_single"":null,""car_multi"":75,""car_monthly"":1630,""lcv_single"":null,""lcv_multi"":120,""lcv_monthly"":2635,""bus_multi"":250,""bus_monthly"":5525,""multiaxle_single"":260,""multiaxle_multi"":390,""multiaxle_monthly"":8665,""hcm_single"":260,""hcm_multi"":390,""hcm_monthly"":8665,""four_six_axle_single"":260,""four_six_axle_multi"":390,""four_six_axle_monthly"":8665,""seven_plus_axle_single"":315,""seven_plus_axle_multi"":475,""seven_plus_axle_monthly"":10545}","<b style='color:#22A7EA'>Gopgram (Shibpur)</b><br/><b> </b> M/s Baharampore Farakka Highways Ltd",0,"BOT (Toll)",,,,,,,,
"Babina",394,25.216966,78.464471,0,0,"01-04-2021","{""car_single"":null,""car_multi"":150,""car_monthly"":3365,""lcv_single"":null,""lcv_multi"":245,""lcv_monthly"":5435,""bus_multi"":515,""bus_monthly"":11390,""multiaxle_single"":375,""multiaxle_multi"":560,""multiaxle_monthly"":12430,""hcm_single"":535,""hcm_multi"":805,""hcm_monthly"":17865,""four_six_axle_single"":535,""four_six_axle_multi"":805,""four_six_axle_monthly"":17865,""seven_plus_axle_single"":650,""seven_plus_axle_multi"":980,""seven_plus_axle_monthly"":21750}","<b style='color:#22A7EA'>Babina</b><br/><b> </b> Ms Skylark Infra Engineering Pvt. Ltd.",0,"Public Funded",,,,,,,,
"Dahalapara",395,26.476288,90.712054,0,0,"01-04-2021","{""car_single"":null,""car_multi"":115,""car_monthly"":2545,""lcv_single"":null,""lcv_multi"":185,""lcv_monthly"":4110,""bus_multi"":385,""bus_monthly"":8610,""multiaxle_single"":280,""multiaxle_multi"":425,""multiaxle_monthly"":9390,""hcm_single"":405,""hcm_multi"":610,""hcm_monthly"":13500,""four_six_axle_single"":405,""four_six_axle_multi"":610,""four_six_axle_monthly"":13500,""seven_plus_axle_single"":495,""seven_plus_axle_multi"":740,""seven_plus_axle_monthly"":16435}","<b style='color:#22A7EA'>Dahalapara</b><br/><b> </b> Skylark Infra Engg. Pvt. Ltd.",0,"Public Funded",,,,,,,,
"Niyamatpur Ekrotiya",396,28.814182,78.902248,0,0,"01-04-2021","{""car_single"":null,""car_multi"":190,""car_monthly"":4275,""lcv_single"":null,""lcv_multi"":300,""lcv_monthly"":6630,""bus_multi"":605,""bus_monthly"":13460,""multiaxle_single"":615,""multiaxle_multi"":925,""multiaxle_monthly"":20550,""hcm_single"":615,""hcm_multi"":925,""hcm_monthly"":20550,""four_six_axle_single"":615,""four_six_axle_multi"":925,""four_six_axle_monthly"":20550,""seven_plus_axle_single"":790,""seven_plus_axle_multi"":1190,""seven_plus_axle_monthly"":26410}","<b style='color:#22A7EA'>Niyamatpur Ekrotiya</b><br/><b> </b> M/s Moradabad-Bareilly expressway Ltd",0,"BOT (Toll)",,,,,,,,
"Thriyakhetal",397,28.480289,79.283886,0,0,"01-04-2021","{""car_single"":null,""car_multi"":200,""car_monthly"":4455,""lcv_single"":null,""lcv_multi"":310,""lcv_monthly"":6840,""bus_multi"":620,""bus_monthly"":13790,""multiaxle_single"":630,""multiaxle_multi"":940,""multiaxle_monthly"":20925,""hcm_single"":630,""hcm_multi"":940,""hcm_monthly"":20925,""four_six_axle_single"":630,""four_six_axle_multi"":940,""four_six_axle_monthly"":20925,""seven_plus_axle_single"":815,""seven_plus_axle_multi"":1225,""seven_plus_axle_monthly"":27240}","<b style='color:#22A7EA'>Thriyakhetal</b><br/><b> </b> M/s Moradabad-Bareilly expressway Ltd",0,"BOT (Toll)",,,,,,,,
"Guabari",398,26.476592,89.756535,0,0,"01-04-2021","{""car_single"":null,""car_multi"":65,""car_monthly"":1435,""lcv_single"":null,""lcv_multi"":105,""lcv_monthly"":2320,""bus_multi"":220,""bus_monthly"":4855,""multiaxle_single"":160,""multiaxle_multi"":240,""multiaxle_monthly"":5300,""hcm_single"":230,""hcm_multi"":345,""hcm_monthly"":7615,""four_six_axle_single"":230,""four_six_axle_multi"":345,""four_six_axle_monthly"":7615,""seven_plus_axle_single"":280,""seven_plus_axle_multi"":415,""seven_plus_axle_monthly"":9270}","<b style='color:#22A7EA'>Guabari</b><br/><b> </b> Ms Mandeepa Enterprises",0,"Public Funded",,,,,,,,
"Fulara",400,22.043538,79.418722,0,0,"01-04-2021","{""car_single"":null,""car_multi"":85,""car_monthly"":1835,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2965,""bus_multi"":280,""bus_monthly"":6215,""multiaxle_single"":205,""multiaxle_multi"":305,""multiaxle_monthly"":6780,""hcm_single"":290,""hcm_multi"":440,""hcm_monthly"":9750,""four_six_axle_single"":290,""four_six_axle_multi"":440,""four_six_axle_monthly"":9750,""seven_plus_axle_single"":355,""seven_plus_axle_multi"":535,""seven_plus_axle_monthly"":11870}","<b style='color:#22A7EA'>Fulara</b><br/><b> </b> MS Riddhi Siddhi Associates",0,"Public Funded",,,,,,,,
"Chikhalikala",401,21.841921,78.433316,0,0,"01-04-2021","{""car_single"":null,""car_multi"":95,""car_monthly"":2075,""lcv_single"":null,""lcv_multi"":150,""lcv_monthly"":3350,""bus_multi"":315,""bus_monthly"":7020,""multiaxle_single"":230,""multiaxle_multi"":345,""multiaxle_monthly"":7660,""hcm_single"":330,""hcm_multi"":495,""hcm_monthly"":11010,""four_six_axle_single"":330,""four_six_axle_multi"":495,""four_six_axle_monthly"":11010,""seven_plus_axle_single"":400,""seven_plus_axle_multi"":605,""seven_plus_axle_monthly"":13405}","<b style='color:#22A7EA'>Chikhalikala</b><br/><b> </b> MS Riddhi Siddhi Associates",0,"Public Funded",,,,,,,,
"Jungawani",402,22.377896,79.151021,0,0,"01-04-2021","{""car_single"":null,""car_multi"":115,""car_monthly"":2580,""lcv_single"":null,""lcv_multi"":190,""lcv_monthly"":4170,""bus_multi"":395,""bus_monthly"":8735,""multiaxle_single"":285,""multiaxle_multi"":430,""multiaxle_monthly"":9530,""hcm_single"":410,""hcm_multi"":615,""hcm_monthly"":13700,""four_six_axle_single"":410,""four_six_axle_multi"":615,""four_six_axle_monthly"":13700,""seven_plus_axle_single"":500,""seven_plus_axle_multi"":750,""seven_plus_axle_monthly"":16680}","<b style='color:#22A7EA'>Jungawani</b><br/><b> </b> MS Riddhi Siddhi Associates",0,"Public Funded",,,,,,,,
"Jaitpur",403,22.548497,79.600413,0,0,"01-04-2021","{""car_single"":null,""car_multi"":85,""car_monthly"":1835,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2970,""bus_multi"":280,""bus_monthly"":6220,""multiaxle_single"":205,""multiaxle_multi"":305,""multiaxle_monthly"":6785,""hcm_single"":295,""hcm_multi"":440,""hcm_monthly"":9750,""four_six_axle_single"":295,""four_six_axle_multi"":440,""four_six_axle_monthly"":9750,""seven_plus_axle_single"":355,""seven_plus_axle_multi"":535,""seven_plus_axle_monthly"":11870}","<b style='color:#22A7EA'>Jaitpur</b><br/><b> </b> MS Riddhi Siddhi Associates",0,"Public Funded",,,,,,,,
"Dakhina Sekhpur",405,26.524482,81.066094,0,0,"01-04-2021","{""car_single"":null,""car_multi"":145,""car_monthly"":3205,""lcv_single"":null,""lcv_multi"":235,""lcv_monthly"":5175,""bus_multi"":490,""bus_monthly"":10845,""multiaxle_single"":355,""multiaxle_multi"":530,""multiaxle_monthly"":11830,""hcm_single"":510,""hcm_multi"":765,""hcm_monthly"":17005,""four_six_axle_single"":510,""four_six_axle_multi"":765,""four_six_axle_monthly"":17005,""seven_plus_axle_single"":620,""seven_plus_axle_multi"":930,""seven_plus_axle_monthly"":20705}","<b style='color:#22A7EA'>Dakhina Sekhpur</b><br/><b> </b> Ms Skylark Infra Engineering Pvt. Ltd.",0,"Public Funded",,,,,,,,
"Kelwad",406,21.471322,78.8726,0,0,"01-04-2021","{""car_single"":null,""car_multi"":105,""car_monthly"":2345,""lcv_single"":null,""lcv_multi"":170,""lcv_monthly"":3790,""bus_multi"":355,""bus_monthly"":7935,""multiaxle_single"":260,""multiaxle_multi"":390,""multiaxle_monthly"":8660,""hcm_single"":375,""hcm_multi"":560,""hcm_monthly"":12445,""four_six_axle_single"":375,""four_six_axle_multi"":560,""four_six_axle_monthly"":12445,""seven_plus_axle_single"":455,""seven_plus_axle_multi"":680,""seven_plus_axle_monthly"":15150}","<b style='color:#22A7EA'>Kelwad</b><br/><b> </b> Md. Karimunnisa",0,"Public Funded",,,,,,,,
"Chullimada Hamlet (Pampampallam)",408,10.81311,76.798051,0,0,"01-04-2021","{""car_single"":null,""car_multi"":100,""car_monthly"":2205,""lcv_single"":null,""lcv_multi"":160,""lcv_monthly"":3560,""bus_multi"":335,""bus_monthly"":7460,""multiaxle_single"":350,""multiaxle_multi"":525,""multiaxle_monthly"":11695,""hcm_single"":350,""hcm_multi"":525,""hcm_monthly"":11695,""four_six_axle_single"":350,""four_six_axle_multi"":525,""four_six_axle_monthly"":11695,""seven_plus_axle_single"":425,""seven_plus_axle_multi"":640,""seven_plus_axle_monthly"":14235}","<b style='color:#22A7EA'>Chullimada Hamlet (Pampampallam)</b><br/><b> </b> M/s KNR Walayar Tollways Pvt Ltd",0,"BOT (Toll)",,,,,,,,
"Aliyapur",409,26.069752,80.163011,0,0,"01-04-2021","{""car_single"":null,""car_multi"":65,""car_monthly"":1475,""lcv_single"":null,""lcv_multi"":105,""lcv_monthly"":2380,""bus_multi"":225,""bus_monthly"":4985,""multiaxle_single"":235,""multiaxle_multi"":350,""multiaxle_monthly"":7820,""hcm_single"":235,""hcm_multi"":350,""hcm_monthly"":7820,""four_six_axle_single"":235,""four_six_axle_multi"":350,""four_six_axle_monthly"":7820,""seven_plus_axle_single"":285,""seven_plus_axle_multi"":430,""seven_plus_axle_monthly"":9520}","<b style='color:#22A7EA'>Aliyapur</b><br/><b> </b> M/s PNC (Kanpur) Highways Ltd",0,"BOT (Toll)",,,,,,,,
"Khanna",410,25.543293,80.060095,0,0,"01-04-2021","{""car_single"":null,""car_multi"":70,""car_monthly"":1590,""lcv_single"":null,""lcv_multi"":115,""lcv_monthly"":2565,""bus_multi"":240,""bus_monthly"":5375,""multiaxle_single"":255,""multiaxle_multi"":380,""multiaxle_monthly"":8425,""hcm_single"":255,""hcm_multi"":380,""hcm_monthly"":8425,""four_six_axle_single"":255,""four_six_axle_multi"":380,""four_six_axle_monthly"":8425,""seven_plus_axle_single"":310,""seven_plus_axle_multi"":460,""seven_plus_axle_monthly"":10260}","<b style='color:#22A7EA'>Khanna</b><br/><b> </b> M/s PNC (Kanpur) Highways Ltd",0,"BOT (Toll)",,,,,,,,
"Baragarh (Barhaguda)",411,21.35447,83.681021,0,0,"01-04-2021","{""car_single"":null,""car_multi"":200,""car_monthly"":4410,""lcv_single"":null,""lcv_multi"":315,""lcv_monthly"":7000,""bus_multi"":655,""bus_monthly"":14510,""multiaxle_single"":675,""multiaxle_multi"":1015,""multiaxle_monthly"":22500,""hcm_single"":675,""hcm_multi"":1015,""hcm_monthly"":22500,""four_six_axle_single"":675,""four_six_axle_multi"":1015,""four_six_axle_monthly"":22500,""seven_plus_axle_single"":840,""seven_plus_axle_multi"":1260,""seven_plus_axle_monthly"":27995}","<b style='color:#22A7EA'>Baragarh (Barhaguda)</b><br/><b> </b> M/s Ashoka Sambalpur Baragrah Tollway Pvt Ltd",0,"BOT (Toll)",,,,,,,,
"Ponnarimangalam",412,10.010336,76.257977,0,0,"01-04-2020","{""car_single"":null,""car_multi"":75,""car_monthly"":1700,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2750,""bus_multi"":260,""bus_monthly"":5760,""multiaxle_single"":190,""multiaxle_multi"":285,""multiaxle_monthly"":6285,""hcm_single"":270,""hcm_multi"":405,""hcm_monthly"":9035,""four_six_axle_single"":270,""four_six_axle_multi"":405,""four_six_axle_monthly"":9035,""seven_plus_axle_single"":330,""seven_plus_axle_multi"":495,""seven_plus_axle_monthly"":11000}","<b style='color:#22A7EA'>Ponnarimangalam</b><br/><b> </b> Ms Datar Security Service Group",0,"0",,,,,,,,
"Ladpalwan",413,32.197881,75.533697,0,0,"01-04-2021","{""car_single"":null,""car_multi"":170,""car_monthly"":3760,""lcv_single"":null,""lcv_multi"":260,""lcv_monthly"":5790,""bus_multi"":530,""bus_monthly"":11780,""multiaxle_single"":535,""multiaxle_multi"":805,""multiaxle_monthly"":17870,""hcm_single"":535,""hcm_multi"":805,""hcm_monthly"":17870,""four_six_axle_single"":535,""four_six_axle_multi"":805,""four_six_axle_monthly"":17870,""seven_plus_axle_single"":695,""seven_plus_axle_multi"":1040,""seven_plus_axle_monthly"":23160}","<b style='color:#22A7EA'>Ladpalwan</b><br/><b> </b> M/s IRB Pathankot Amritsar Toll Road Ltd",0,"BOT (Toll)",,,,,,,,
"Waryam Nangal",414,31.731947,75.041365,0,0,"01-04-2021","{""car_single"":null,""car_multi"":145,""car_monthly"":3235,""lcv_single"":null,""lcv_multi"":225,""lcv_monthly"":5025,""bus_multi"":465,""bus_monthly"":10285,""multiaxle_single"":470,""multiaxle_multi"":705,""multiaxle_monthly"":15720,""hcm_single"":470,""hcm_multi"":705,""hcm_monthly"":15720,""four_six_axle_single"":470,""four_six_axle_multi"":705,""four_six_axle_monthly"":15720,""seven_plus_axle_single"":605,""seven_plus_axle_multi"":905,""seven_plus_axle_monthly"":20105}","<b style='color:#22A7EA'>Waryam Nangal</b><br/><b> </b> M/s IRB Pathankot Amritsar Toll Road Ltd",0,"BOT (Toll)",,,,,,,,
"Deederganj",415,25.570828,85.247807,0,0,"01-04-2021","{""car_single"":null,""car_multi"":170,""car_monthly"":3755,""lcv_single"":null,""lcv_multi"":260,""lcv_monthly"":5730,""bus_multi"":515,""bus_monthly"":11485,""multiaxle_single"":520,""multiaxle_multi"":780,""multiaxle_monthly"":17360,""hcm_single"":520,""hcm_multi"":780,""hcm_monthly"":17360,""four_six_axle_single"":520,""four_six_axle_multi"":780,""four_six_axle_monthly"":17360,""seven_plus_axle_single"":685,""seven_plus_axle_multi"":1025,""seven_plus_axle_monthly"":22790}","<b style='color:#22A7EA'>Deederganj</b><br/><b> </b> M/s  Patna Bakhtiyarpur Tollway Limited",0,"BOT (Toll)",,,,,,,,
"Akhepura",416,27.50603,75.348401,0,0,"01-04-2021","{""car_single"":null,""car_multi"":90,""car_monthly"":2005,""lcv_single"":null,""lcv_multi"":145,""lcv_monthly"":3235,""bus_multi"":305,""bus_monthly"":6780,""multiaxle_single"":220,""multiaxle_multi"":335,""multiaxle_monthly"":7395,""hcm_single"":320,""hcm_multi"":480,""hcm_monthly"":10630,""four_six_axle_single"":320,""four_six_axle_multi"":480,""four_six_axle_monthly"":10630,""seven_plus_axle_single"":390,""seven_plus_axle_multi"":580,""seven_plus_axle_monthly"":12945}","<b style='color:#22A7EA'>Akhepura</b><br/><b> </b> Ms Inderdeep Construction Co.",0,"Public Funded",,,,,,,,
"Milanpur",417,21.864457,77.961508,0,0,"01-04-2021","{""car_single"":null,""car_multi"":130,""car_monthly"":2925,""lcv_single"":null,""lcv_multi"":215,""lcv_monthly"":4730,""bus_multi"":445,""bus_monthly"":9905,""multiaxle_single"":325,""multiaxle_multi"":485,""multiaxle_monthly"":10805,""hcm_single"":465,""hcm_multi"":700,""hcm_monthly"":15535,""four_six_axle_single"":465,""four_six_axle_multi"":700,""four_six_axle_monthly"":15535,""seven_plus_axle_single"":565,""seven_plus_axle_multi"":850,""seven_plus_axle_monthly"":18910}","<b style='color:#22A7EA'>Milanpur</b><br/><b> </b> Sh Khalatkar Cunstruction",0,"Public Funded",,,,,,,,
"Khambara",418,21.693812,78.387824,0,0,"01-04-2021","{""car_single"":null,""car_multi"":125,""car_monthly"":2815,""lcv_single"":null,""lcv_multi"":205,""lcv_monthly"":4545,""bus_multi"":430,""bus_monthly"":9525,""multiaxle_single"":310,""multiaxle_multi"":470,""multiaxle_monthly"":10390,""hcm_single"":450,""hcm_multi"":670,""hcm_monthly"":14935,""four_six_axle_single"":450,""four_six_axle_multi"":670,""four_six_axle_monthly"":14935,""seven_plus_axle_single"":545,""seven_plus_axle_multi"":820,""seven_plus_axle_monthly"":18180}","<b style='color:#22A7EA'>Khambara</b><br/><b> </b> Md. Usman",0,"Public Funded",,,,,,,,
"Patanswangi",419,21.343724,79.009038,0,0,"01-04-2021","{""car_single"":null,""car_multi"":135,""car_monthly"":2945,""lcv_single"":null,""lcv_multi"":215,""lcv_monthly"":4760,""bus_multi"":450,""bus_monthly"":9970,""multiaxle_single"":325,""multiaxle_multi"":490,""multiaxle_monthly"":10880,""hcm_single"":470,""hcm_multi"":705,""hcm_monthly"":15635,""four_six_axle_single"":470,""four_six_axle_multi"":705,""four_six_axle_monthly"":15635,""seven_plus_axle_single"":575,""seven_plus_axle_multi"":855,""seven_plus_axle_monthly"":19035}","<b style='color:#22A7EA'>Patanswangi</b><br/><b> </b> Khalatkar Construction",0,"Public Funded",,,,,,,,
"Gegal",420,26.551347,74.780202,0,0,"01-04-2021","{""car_single"":null,""car_multi"":85,""car_monthly"":1925,""lcv_single"":null,""lcv_multi"":140,""lcv_monthly"":3110,""bus_multi"":295,""bus_monthly"":6520,""multiaxle_single"":305,""multiaxle_multi"":460,""multiaxle_monthly"":10225,""hcm_single"":305,""hcm_multi"":460,""hcm_monthly"":10225,""four_six_axle_single"":305,""four_six_axle_multi"":460,""four_six_axle_monthly"":10225,""seven_plus_axle_single"":375,""seven_plus_axle_multi"":560,""seven_plus_axle_monthly"":12450}","<b style='color:#22A7EA'>Gegal</b><br/><b> </b> M/s Soma Isolux Kishangarh Beawar Tollway Pvt Ltd",0,"BOT (Toll)",,,,,,,,
"Pipalaz",421,26.158466,74.371725,0,0,"01-04-2021","{""car_single"":null,""car_multi"":85,""car_monthly"":1875,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":3025,""bus_multi"":285,""bus_monthly"":6340,""multiaxle_single"":300,""multiaxle_multi"":445,""multiaxle_monthly"":9940,""hcm_single"":300,""hcm_multi"":445,""hcm_monthly"":9940,""four_six_axle_single"":300,""four_six_axle_multi"":445,""four_six_axle_monthly"":9940,""seven_plus_axle_single"":365,""seven_plus_axle_multi"":545,""seven_plus_axle_monthly"":12100}","<b style='color:#22A7EA'>Pipalaz</b><br/><b> </b> M/s Soma Isolux Kishangarh Beawar Tollway Pvt Ltd",0,"BOT (Toll)",,,,,,,,
"Gadoi",422,21.425234,70.295437,0,0,"01-04-2021","{""car_single"":null,""car_multi"":95,""car_monthly"":2155,""lcv_single"":null,""lcv_multi"":155,""lcv_monthly"":3475,""bus_multi"":330,""bus_monthly"":7285,""multiaxle_single"":240,""multiaxle_multi"":360,""multiaxle_monthly"":7950,""hcm_single"":345,""hcm_multi"":515,""hcm_monthly"":11425,""four_six_axle_single"":345,""four_six_axle_multi"":515,""four_six_axle_monthly"":11425,""seven_plus_axle_single"":415,""seven_plus_axle_multi"":625,""seven_plus_axle_monthly"":13910}","<b style='color:#22A7EA'>Gadoi</b><br/><b> </b> Sh. Anil Kumar Shukla",0,"Public Funded",,,,,,,,
"Dari",423,20.961287,70.334349,0,0,"01-04-2021","{""car_single"":null,""car_multi"":125,""car_monthly"":2745,""lcv_single"":null,""lcv_multi"":200,""lcv_monthly"":4435,""bus_multi"":420,""bus_monthly"":9295,""multiaxle_single"":305,""multiaxle_multi"":455,""multiaxle_monthly"":10140,""hcm_single"":435,""hcm_multi"":655,""hcm_monthly"":14575,""four_six_axle_single"":435,""four_six_axle_multi"":655,""four_six_axle_monthly"":14575,""seven_plus_axle_single"":530,""seven_plus_axle_multi"":800,""seven_plus_axle_monthly"":17745}","<b style='color:#22A7EA'>Dari</b><br/><b> </b> Ms Prakash Asphaltings and Toll Highways (India) Ltd.",0,"Public Funded",,,,,,,,
"Raha(Saragaon)",424,26.245678,92.541521,0,0,"01-04-2021","{""car_single"":null,""car_multi"":150,""car_monthly"":3305,""lcv_single"":null,""lcv_multi"":240,""lcv_monthly"":5340,""bus_multi"":505,""bus_monthly"":11185,""multiaxle_single"":365,""multiaxle_multi"":550,""multiaxle_monthly"":12200,""hcm_single"":525,""hcm_multi"":790,""hcm_monthly"":17540,""four_six_axle_single"":525,""four_six_axle_multi"":790,""four_six_axle_monthly"":17540,""seven_plus_axle_single"":640,""seven_plus_axle_multi"":960,""seven_plus_axle_monthly"":21350}","<b style='color:#22A7EA'>Raha(Saragaon)</b><br/><b> </b> Ms M.B. Consortium",0,"Public Funded",,,,,,,,
"Daboka",425,26.114657,92.875479,0,0,"01-04-2017","{""car_single"":null,""car_multi"":120,""car_monthly"":2660,""lcv_single"":null,""lcv_multi"":195,""lcv_monthly"":4300,""bus_multi"":405,""bus_monthly"":9010,""multiaxle_single"":295,""multiaxle_multi"":440,""multiaxle_monthly"":9830,""hcm_single"":425,""hcm_multi"":635,""hcm_monthly"":14130,""four_six_axle_single"":425,""four_six_axle_multi"":635,""four_six_axle_monthly"":14130,""seven_plus_axle_single"":515,""seven_plus_axle_multi"":775,""seven_plus_axle_monthly"":17200}","<b style='color:#22A7EA'>Daboka</b><br/><b> </b> &nbsp;",0,"Public Funded",,,,,,,,
"Nazira Khat",426,26.100258,91.879125,0,0,"01-04-2021","{""car_single"":null,""car_multi"":175,""car_monthly"":3865,""lcv_single"":null,""lcv_multi"":280,""lcv_monthly"":6245,""bus_multi"":590,""bus_monthly"":13085,""multiaxle_single"":430,""multiaxle_multi"":640,""multiaxle_monthly"":14275,""hcm_single"":615,""hcm_multi"":925,""hcm_monthly"":20520,""four_six_axle_single"":615,""four_six_axle_multi"":925,""four_six_axle_monthly"":20520,""seven_plus_axle_single"":750,""seven_plus_axle_multi"":1125,""seven_plus_axle_monthly"":24980}","<b style='color:#22A7EA'>Nazira Khat</b><br/><b> </b> Skylark Infra Engg. Pvt. Ltd.",0,"Public Funded",,,,,,,,
"Mandal (Vyara)",427,21.134676,73.478511,0,0,"01-04-2021","{""car_single"":null,""car_multi"":220,""car_monthly"":4870,""lcv_single"":null,""lcv_multi"":340,""lcv_monthly"":7560,""bus_multi"":695,""bus_monthly"":15440,""multiaxle_single"":710,""multiaxle_multi"":1060,""multiaxle_monthly"":23605,""hcm_single"":710,""hcm_multi"":1060,""hcm_monthly"":23605,""four_six_axle_single"":710,""four_six_axle_multi"":1060,""four_six_axle_monthly"":23605,""seven_plus_axle_single"":905,""seven_plus_axle_multi"":1360,""seven_plus_axle_monthly"":30220}","<b style='color:#22A7EA'>Mandal (Vyara)</b><br/><b> </b> M/s Soma Isolux",0,"BOT (Toll)",,,,,,,,
"Bhatia",428,21.190249,72.869085,0,0,"01-04-2021","{""car_single"":null,""car_multi"":170,""car_monthly"":3795,""lcv_single"":null,""lcv_multi"":270,""lcv_monthly"":5980,""bus_multi"":555,""bus_monthly"":12355,""multiaxle_single"":570,""multiaxle_multi"":860,""multiaxle_monthly"":19080,""hcm_single"":570,""hcm_multi"":860,""hcm_monthly"":19080,""four_six_axle_single"":570,""four_six_axle_multi"":860,""four_six_axle_monthly"":19080,""seven_plus_axle_single"":720,""seven_plus_axle_multi"":1075,""seven_plus_axle_monthly"":23930}","<b style='color:#22A7EA'>Bhatia</b><br/><b> </b> M/s Soma  Isolux",0,"BOT (Toll)",,,,,,,,
"Luharali",429,28.497746,77.629298,0,0,"01-04-2021","{""car_single"":null,""car_multi"":180,""car_monthly"":4045,""lcv_single"":null,""lcv_multi"":285,""lcv_monthly"":6285,""bus_multi"":580,""bus_monthly"":12850,""multiaxle_single"":590,""multiaxle_multi"":885,""multiaxle_monthly"":19635,""hcm_single"":590,""hcm_multi"":885,""hcm_monthly"":19635,""four_six_axle_single"":590,""four_six_axle_multi"":885,""four_six_axle_monthly"":19635,""seven_plus_axle_single"":755,""seven_plus_axle_multi"":1130,""seven_plus_axle_monthly"":25135}","<b style='color:#22A7EA'>Luharali</b><br/><b> </b> M/s Ghaziabad Aligarh Expressway Pvt Ltd",0,"BOT (Toll)",,,,,,,,
"Somna",430,28.062821,77.946047,0,0,"01-04-2021","{""car_single"":null,""car_multi"":240,""car_monthly"":5300,""lcv_single"":null,""lcv_multi"":365,""lcv_monthly"":8105,""bus_multi"":735,""bus_monthly"":16325,""multiaxle_single"":740,""multiaxle_multi"":1110,""multiaxle_monthly"":24685,""hcm_single"":740,""hcm_multi"":1110,""hcm_monthly"":24685,""four_six_axle_single"":740,""four_six_axle_multi"":1110,""four_six_axle_monthly"":24685,""seven_plus_axle_single"":970,""seven_plus_axle_multi"":1455,""seven_plus_axle_monthly"":32310}","<b style='color:#22A7EA'>Somna</b><br/><b> </b> M/s Ghaziabad Aligarh Expressway Pvt Ltd",0,"BOT (Toll)",,,,,,,,
